epoch #,train,test
0,29.021770,50.270563
1,45.815663,58.116883
2,53.166525,62.175325
3,57.548770,63.690476
4,61.068702,70.075758
5,63.019508,64.772727
6,66.044671,76.893939
7,69.720102,76.136364
8,70.949958,73.755411
9,73.664122,80.194805
10,75.148431,80.898268
11,74.936387,82.142857
12,77.707096,83.495671
13,78.569409,83.549784
14,79.403449,83.062771
15,79.841674,83.658009
16,81.241165,83.062771
17,81.283574,84.469697
18,82.160023,84.577922
19,82.895109,85.227273
20,83.686740,86.255411
21,84.506644,86.363636
22,84.761097,85.551948
23,84.534917,85.930736
24,84.959005,86.688312
25,86.061634,87.012987
26,85.057959,86.417749
27,85.976817,87.770563
28,86.146452,86.147186
29,87.022901,87.175325
30,87.150127,86.742424
31,87.475262,88.636364
32,87.772123,88.095238
33,87.475262,88.582251
34,87.701442,88.474026
35,87.757987,88.798701
36,88.422392,88.365801
37,88.493073,87.662338
38,87.941759,87.283550
39,88.507209,88.961039
40,88.818208,88.906926
41,88.973707,88.311688
42,89.991518,88.095238
43,89.383658,89.069264
44,89.708793,89.502165
45,90.542833,89.448052
46,89.595703,90.097403
47,90.005655,89.069264
48,90.288380,89.285714
49,90.500424,88.798701
50,90.429743,88.690476
51,90.514560,89.339827
52,90.641787,90.151515
53,90.556969,89.177489
54,90.811422,88.474026
55,91.320328,89.015152
56,91.094148,89.664502
57,91.744416,89.069264
58,90.910376,89.664502
59,91.249647,88.961039
60,91.786825,90.043290
61,91.928188,89.502165
62,91.475827,90.909091
63,92.041278,89.610390
64,91.631326,88.906926
65,91.687871,90.043290
66,91.829234,89.989177
67,91.730280,89.935065
68,92.592593,89.069264
69,91.956460,90.097403
70,92.168504,89.880952
71,92.253322,89.989177
72,92.140232,90.800866
73,92.564320,90.205628
74,92.041278,89.989177
75,93.059090,89.069264
76,92.295731,90.476190
77,92.451230,90.043290
78,92.762228,89.015152
79,92.832909,90.638528
80,93.341815,89.880952
81,92.635001,89.772727
82,92.281595,90.259740
83,93.341815,91.450216
84,93.398360,90.909091
85,93.539723,90.259740
86,93.299406,90.530303
87,93.864857,90.259740
88,93.271134,90.097403
89,93.624541,90.422078
90,93.907266,89.664502
91,93.794176,91.071429
92,93.723494,90.746753
93,93.963811,90.530303
94,93.341815,90.205628
95,93.751767,90.313853
96,93.638677,90.097403
97,93.737631,89.880952
98,94.175855,90.746753
99,93.780040,90.151515
100,94.062765,90.476190
101,94.854396,90.963203
102,94.755442,90.909091
103,94.472717,91.017316
104,94.925078,91.179654
105,95.320893,90.963203
106,95.009895,91.017316
107,94.571671,91.125541
108,95.278485,91.071429
109,94.642352,91.179654
110,95.066440,90.963203
111,95.108849,90.746753
112,95.108849,90.909091
113,94.614080,90.854978
114,94.981623,91.017316
115,94.543398,90.746753
116,95.122986,90.909091
117,95.264348,91.071429
118,95.335030,91.341991
119,95.066440,90.909091
120,94.543398,90.963203
121,95.264348,90.963203
122,95.236076,90.963203
123,95.377439,90.909091
124,95.448120,91.071429
125,95.603619,90.963203
126,95.207803,91.071429
127,95.433984,91.125541
128,95.137122,91.125541
129,95.306757,91.179654
130,95.080577,91.179654
131,95.504665,90.854978
132,95.335030,91.017316
133,95.108849,90.854978
134,95.589483,90.963203
135,95.193667,90.692641
136,95.066440,90.800866
137,95.504665,90.800866
138,95.278485,91.396104
139,95.137122,91.017316
140,95.122986,91.179654
141,95.236076,91.558442
142,95.660164,91.017316
143,95.660164,91.450216
144,95.787390,91.396104
145,95.589483,91.287879
146,95.631891,91.125541
147,95.349166,91.233766
148,95.306757,91.179654
149,95.306757,91.341991
150,95.320893,91.179654
151,95.320893,91.179654
152,95.744982,91.179654
153,96.055980,91.179654
154,95.433984,91.287879
155,95.518801,91.125541
156,95.702573,91.071429
157,95.900481,91.125541
158,95.631891,91.450216
159,95.504665,91.341991
160,95.787390,91.341991
161,95.221939,91.341991
162,95.575346,91.071429
163,95.575346,91.233766
164,95.914617,91.233766
165,95.547074,91.125541
166,95.617755,91.125541
167,96.070116,91.017316
168,95.646028,91.341991
169,95.363302,91.287879
170,95.858072,91.558442
171,95.702573,91.287879
172,95.547074,91.450216
173,95.674300,91.233766
174,95.744982,91.071429
175,95.462256,91.233766
