epoch #,train,test
0,2.919413,1.448050
1,1.500505,1.131109
2,1.260169,1.036169
3,1.114083,0.944213
4,1.009399,0.859561
5,0.952315,0.966375
6,0.900313,0.717622
7,0.827392,0.760309
8,0.788615,0.717483
9,0.743800,0.632260
10,0.718211,0.605467
11,0.708367,0.616466
12,0.634145,0.573578
13,0.624650,0.568818
14,0.588092,0.571533
15,0.575866,0.541051
16,0.548187,0.533298
17,0.537620,0.509144
18,0.522618,0.530606
19,0.507669,0.514376
20,0.463825,0.528945
21,0.454309,0.495862
22,0.450573,0.485135
23,0.458100,0.453273
24,0.439407,0.459953
25,0.409212,0.461856
26,0.415855,0.481618
27,0.396830,0.440562
28,0.401407,0.502967
29,0.397391,0.469431
30,0.381407,0.464079
31,0.367840,0.405547
32,0.354225,0.429704
33,0.376621,0.407020
34,0.353914,0.412175
35,0.361388,0.393486
36,0.342116,0.385002
37,0.336609,0.421171
38,0.340036,0.443136
39,0.329862,0.400679
40,0.311424,0.382030
41,0.312309,0.404589
42,0.292306,0.403165
43,0.311739,0.375332
44,0.301438,0.390754
45,0.293379,0.394892
46,0.303187,0.389350
47,0.290052,0.399506
48,0.287374,0.399079
49,0.284191,0.408006
50,0.269716,0.412009
51,0.269948,0.389584
52,0.277433,0.389645
53,0.269952,0.434762
54,0.267511,0.410323
55,0.253465,0.394914
56,0.263855,0.364392
57,0.243555,0.390536
58,0.258798,0.392124
59,0.250718,0.372552
60,0.234588,0.418028
61,0.237291,0.388945
62,0.247080,0.337951
63,0.235831,0.370557
64,0.232147,0.449257
65,0.229522,0.418272
66,0.242814,0.393263
67,0.226949,0.409414
68,0.225100,0.387651
69,0.226667,0.380447
70,0.233565,0.359078
71,0.225624,0.391947
72,0.228649,0.352524
73,0.214670,0.370059
74,0.225266,0.381052
75,0.208562,0.444948
76,0.218392,0.373065
77,0.213567,0.389551
78,0.203134,0.439013
79,0.210752,0.388175
80,0.208260,0.387261
81,0.212090,0.374992
82,0.210063,0.390652
83,0.191889,0.349227
84,0.193648,0.378432
85,0.186412,0.386861
86,0.196751,0.420794
87,0.186360,0.372112
88,0.195653,0.389719
89,0.189398,0.384526
90,0.180670,0.457601
91,0.190940,0.379448
92,0.177510,0.386118
93,0.176758,0.414126
94,0.190170,0.372206
95,0.184719,0.403963
96,0.183543,0.401551
97,0.189352,0.399902
98,0.179751,0.420369
99,0.167590,0.472257
100,0.172209,0.416914
101,0.149999,0.413874
102,0.155647,0.417487
103,0.153296,0.410765
104,0.147193,0.411293
105,0.142662,0.408274
106,0.145054,0.403591
107,0.144641,0.406375
108,0.138885,0.409559
109,0.150324,0.402482
110,0.137770,0.399683
111,0.145823,0.401393
112,0.138078,0.412973
113,0.149857,0.405660
114,0.143866,0.407627
115,0.149881,0.404290
116,0.139516,0.412450
117,0.136711,0.417426
118,0.134458,0.421635
119,0.150675,0.418202
120,0.145590,0.406957
121,0.128191,0.409558
122,0.132385,0.417295
123,0.139596,0.427529
124,0.140254,0.412297
125,0.128208,0.411953
126,0.139257,0.412273
127,0.133690,0.411866
128,0.141158,0.408583
129,0.139142,0.410033
130,0.134899,0.404067
131,0.135300,0.411207
132,0.137987,0.425675
133,0.137740,0.408800
134,0.133590,0.417242
